code,SNR,coderate,SE
QPSK,-2.35,0.25,0.490243
QPSK,-1.24,0.333333333,0.656448
QPSK,-0.3,0.4,0.789412
QPSK,1,0.5,0.988858
QPSK,2.23,0.6,1.188304
QPSK,3.1,0.666666667,1.322253
QPSK,4.03,0.75,1.487473
QPSK,4.68,0.8,1.587196
QPSK,5.18,0.833333333,1.654663
QPSK,6.2,0.888888889,1.766451
QPSK,6.42,0.9,1.788612
8PSK,5.5,0.6,1.779991
8PSK,6.62,0.666666667,1.980636
8PSK,7.91,0.75,2.228124
8PSK,9.35,0.833333333,2.478562
8PSK,10.69,0.888888889,2.646012
8PSK,10.98,0.9,2.679207
16APSK,8.97,0.666666667,2.637201
16APSK,10.21,0.75,2.966728
16APSK,11.61,0.833333333,3.300184
16APSK,12.89,0.888888889,3.523143
16APSK,13.13,0.9,3.567342
32APSK,12.73,0.75,3.703295
32APSK,13.64,0.8,3.951571
32APSK,14.28,0.833333333,4.11954
32APSK,15.69,0.888888889,4.397854
32APSK,16.05,0.9,4.453027
